kernel,pair_type,similarity
Linear,Different class,-2.188481134954449
Linear,Same class,6.676909417168251
Linear,Different class,-6.498524766132755
Linear,Different class,6.295171524372897
Linear,Different class,-5.663136061738778
Linear,Different class,17.674532410828498
Linear,Same class,-2.8775334695345105
Linear,Different class,-4.641265603392155
Linear,Same class,-14.757433873157073
Linear,Different class,-10.262854155943236
Linear,Different class,12.585695647495246
Linear,Same class,-12.494507600034119
Linear,Same class,7.292548768396191
Linear,Different class,11.548582984255189
Linear,Different class,0.010931531804438429
Linear,Different class,-8.21960958630083
Linear,Different class,8.789837173684582
Linear,Different class,-1.2828143360497102
Linear,Different class,5.922184165030176
Linear,Same class,0.34287425786794934
Linear,Same class,0.8396267067117791
Linear,Same class,-9.757011931608165
Linear,Same class,-0.3879610154764094
Linear,Same class,5.617476998476169
Linear,Different class,0.646166364172926
Linear,Same class,0.7357039380232386
Linear,Same class,-3.5582553035493487
Linear,Same class,45.71436338686721
Linear,Same class,-4.945728176322275
Linear,Same class,-10.223938672383534
Linear,Same class,-14.54971631364127
Linear,Same class,-8.916533510970353
Linear,Same class,-0.5731451842650078
Linear,Same class,-3.707332547178455
Linear,Same class,-10.190804456651028
Linear,Different class,5.777652820740904
Linear,Different class,-12.626831498924144
Linear,Different class,-14.530645014289119
Linear,Different class,5.543035075028018
Linear,Different class,-0.4152902812791363
Linear,Same class,-2.104923697383366
Linear,Different class,-7.202109772649707
Linear,Different class,2.919746825194056
Linear,Different class,-1.8423327000090677
Linear,Same class,1.2672969756498296
Linear,Same class,1.7726378622862524
Linear,Different class,6.597404969111782
Linear,Same class,-1.0233707953137126
Linear,Different class,6.903459452330541
Linear,Same class,-1.8811280597515534
Linear,Different class,4.398771075634647
Linear,Different class,2.7638189737688377
Linear,Different class,-0.8000193096457163
Linear,Same class,-17.792940884435193
Linear,Different class,-5.477209485122082
Linear,Same class,5.458343122801114
Linear,Same class,-13.356333231753597
Linear,Same class,-2.7911132557414176
Linear,Different class,5.681338459151462
Linear,Different class,-0.4327470669234271
Linear,Different class,-8.51073852279417
Linear,Different class,-10.518077843281269
Linear,Same class,-11.508031532711087
Linear,Different class,1.7527021276419075
Linear,Same class,4.499381615692706
Linear,Same class,2.1138442210138626
Linear,Same class,-2.91093167220957
Linear,Different class,3.2396293693836973
Linear,Different class,5.407787958471883
Linear,Same class,11.5301879419866
Linear,Same class,-0.07819177202134589
Linear,Same class,-4.631949340396706
Linear,Same class,-9.657595372882582
Linear,Different class,2.3177739785289067
Linear,Same class,-0.21575395137348297
Linear,Different class,7.3225622569810245
Linear,Same class,-6.363798447473685
Linear,Different class,-5.996429971584618
Linear,Same class,-7.096144428154676
Linear,Same class,0.9684313871091923
Linear,Different class,-1.4400829572121523
Linear,Same class,4.483987640186857
Linear,Same class,12.815144259294653
Linear,Different class,-4.558004184809669
Linear,Same class,6.178826275540635
Linear,Same class,5.58328515498997
Linear,Different class,0.45690686998007674
Linear,Different class,-4.327320536776256
Linear,Different class,-14.200729849863157
Linear,Different class,8.740430595071256
Linear,Different class,-1.904892732907224
Linear,Different class,3.0703209863225744
Linear,Different class,-8.98331708384203
Linear,Different class,-2.940705749252754
Linear,Same class,2.101104613273037
Linear,Same class,-1.9311967133005736
Linear,Same class,2.729973093057459
Linear,Different class,-14.207255717153672
Linear,Different class,5.90963526319219
Linear,Different class,3.5242650854770283
Linear,Different class,4.0394199164710125
Linear,Same class,26.39661969299663
Linear,Same class,0.22338016506079664
Linear,Different class,10.66685255982755
Linear,Same class,9.961716263065894
Linear,Different class,-2.7598227485299867
Linear,Same class,-6.360597670342011
Linear,Same class,5.8349167729006055
Linear,Different class,4.07776988463116
Linear,Same class,1.8262288575588406
Linear,Different class,0.8032414997963214
Linear,Same class,7.571062149277746
Linear,Same class,-3.0582224921239294
Linear,Same class,11.658236233144233
Linear,Different class,10.402156342478397
Linear,Different class,11.700785372526378
Linear,Different class,-0.5258430908778495
Linear,Same class,-5.695976707466547
Linear,Same class,5.690322041976702
Linear,Same class,2.0448464374149222
Linear,Different class,3.694985412380979
Linear,Different class,0.3076420000078609
Linear,Different class,1.8932627673676012
Linear,Different class,-5.287146655561026
Linear,Different class,2.148912242878774
Linear,Same class,-1.5681101560554769
Linear,Same class,17.700932234463362
Linear,Different class,4.63600531214203
Linear,Different class,-3.1448725720755752
Linear,Different class,3.539239794723647
Linear,Same class,-7.169837084549177
Linear,Different class,0.515079318307687
Linear,Same class,2.8436995335271904
Linear,Different class,0.6752414566507094
Linear,Same class,0.5892324114747522
Linear,Same class,-9.47587482129022
Linear,Same class,2.2141654157329964
Linear,Same class,11.637049465047241
Linear,Different class,14.97525403403811
Linear,Same class,1.811260793632981
Linear,Same class,-3.0372431033507064
Linear,Different class,15.134263615539426
Linear,Different class,4.706191858704591
Linear,Same class,-2.343532918599958
Linear,Same class,-11.201523338585455
Linear,Same class,3.5003780992962814
Linear,Different class,-2.924264605421224
Linear,Same class,2.3358358615631936
Linear,Same class,-1.6579629205213176
Linear,Different class,0.8617015419395724
Linear,Different class,-2.682787168409489
Linear,Same class,7.219777092814801
Linear,Different class,-0.5355968929731534
Linear,Different class,-0.6073013790958177
Linear,Same class,-1.8720623743657012
Linear,Same class,-6.88204895340421
Linear,Different class,5.656859768211853
Linear,Different class,-3.330334476972435
Linear,Different class,-1.3326428116975029
Linear,Same class,7.317344010339406
Linear,Different class,1.856125332575898
Linear,Different class,-10.109811114762872
Linear,Different class,6.333769287597647
Linear,Different class,-12.230864857812506
Linear,Different class,-11.651775105538112
